# equation of state: murnaghan.        chisq = 0.6659D-09
# V0 = 2486.01 a.u.^3,  k0 =  141 kbar,  dk0 = -1.48  d2k0 = -0.010  emin = -446.70864
# V0 =  368.39  Ang^3,  k0 =  14.1 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
 2062.93    -446.67508    -446.67506    -0.00001       2.30     -446.35249
 2087.34    -446.67876    -446.67877     0.00001       2.17     -446.37038
 2111.93    -446.68228    -446.68230     0.00002       2.04     -446.38874
 2136.72    -446.68563    -446.68564     0.00000       1.91     -446.40761
 2161.70    -446.68884    -446.68877    -0.00006       1.78     -446.42699
 2186.88    -446.69170    -446.69171     0.00001       1.65     -446.44672
 2212.25    -446.69440    -446.69443     0.00003       1.51     -446.46701
 2237.81    -446.69694    -446.69694     0.00000       1.37     -446.48785
 2263.57    -446.69924    -446.69923    -0.00001       1.24     -446.50918
