# equation of state: murnaghan.        chisq = 0.1044D-11
# V0 = 1646.23 a.u.^3,  k0 =   75 kbar,  dk0 =  4.56  d2k0 = -0.010  emin =-1181.97087
# V0 =  243.95  Ang^3,  k0 =   7.6 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
 1501.12   -1181.96696   -1181.96696    -0.00000       0.87    -1181.87837
 1520.88   -1181.96802   -1181.96802     0.00000       0.72    -1181.89339
 1540.80   -1181.96891   -1181.96891    -0.00000       0.58    -1181.90767
 1560.90   -1181.96962   -1181.96962     0.00000       0.46    -1181.92124
 1581.17   -1181.97016   -1181.97016    -0.00000       0.33    -1181.93415
 1601.61   -1181.97055   -1181.97055    -0.00000       0.22    -1181.94643
 1622.23   -1181.97078   -1181.97078     0.00000       0.11    -1181.95811
 1643.03   -1181.97087   -1181.97087     0.00000       0.01    -1181.96922
 1664.01   -1181.97083   -1181.97083    -0.00000      -0.08    -1181.97980
