# equation of state: murnaghan.        chisq = 0.4668D-11
# V0 = 1073.35 a.u.^3,  k0 =  234 kbar,  dk0 =  4.02  d2k0 = -0.010  emin =-1334.70068
# V0 =  159.05  Ang^3,  k0 =  23.4 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
 1007.18   -1334.69706   -1334.69706    -0.00000       1.70    -1334.58070
 1022.33   -1334.69858   -1334.69858     0.00000       1.26    -1334.61095
 1037.63   -1334.69968   -1334.69968     0.00000       0.85    -1334.63973
 1053.08   -1334.70037   -1334.70037    -0.00000       0.46    -1334.66711
 1068.68   -1334.70067   -1334.70066    -0.00000       0.10    -1334.69317
 1084.44   -1334.70059   -1334.70059    -0.00000      -0.24    -1334.71798
 1100.35   -1334.70016   -1334.70016     0.00000      -0.55    -1334.74159
 1116.41   -1334.69939   -1334.69939     0.00000      -0.85    -1334.76409
 1132.63   -1334.69830   -1334.69829    -0.00000      -1.13    -1334.78553
