# equation of state: murnaghan.        chisq = 0.9446D-12
# V0 =  861.91 a.u.^3,  k0 =  466 kbar,  dk0 =  4.98  d2k0 = -0.010  emin = -302.84896
# V0 =  127.72  Ang^3,  k0 =  46.7 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
  821.99    -302.84573    -302.84573    -0.00000       2.50     -302.70614
  835.22    -302.84756    -302.84756     0.00000       1.59     -302.75727
  848.60    -302.84862    -302.84863     0.00000       0.76     -302.80501
  862.11    -302.84896    -302.84896    -0.00000      -0.01     -302.84959
  875.77    -302.84862    -302.84862    -0.00000      -0.72     -302.89125
  889.57    -302.84764    -302.84764    -0.00000      -1.36     -302.93018
  903.52    -302.84606    -302.84606     0.00000      -1.96     -302.96657
  917.61    -302.84391    -302.84391     0.00000      -2.51     -303.00061
  931.85    -302.84123    -302.84123    -0.00000      -3.02     -303.03246
