# equation of state: murnaghan.        chisq = 0.1923D-11
# V0 =  663.94 a.u.^3,  k0 =  473 kbar,  dk0 =  4.80  d2k0 = -0.010  emin = -829.19446
# V0 =   98.39  Ang^3,  k0 =  47.4 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
  616.28    -829.18808    -829.18808    -0.00000       4.25     -829.01021
  627.20    -829.19080    -829.19080     0.00000       3.10     -829.05849
  638.26    -829.19273    -829.19273     0.00000       2.06     -829.10340
  649.44    -829.19393    -829.19393    -0.00000       1.10     -829.14518
  660.76    -829.19444    -829.19444    -0.00000       0.23     -829.18408
  672.20    -829.19430    -829.19430    -0.00000      -0.57     -829.22030
  683.78    -829.19356    -829.19356     0.00000      -1.30     -829.25404
  695.49    -829.19225    -829.19225     0.00000      -1.97     -829.28548
  707.33    -829.19041    -829.19041    -0.00000      -2.59     -829.31481
