# equation of state: murnaghan.        chisq = 0.7371D-12
# V0 = 1082.38 a.u.^3,  k0 =  293 kbar,  dk0 =  4.50  d2k0 = -0.010  emin = -558.86691
# V0 =  160.39  Ang^3,  k0 =  29.3 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
 1012.58    -558.86183    -558.86183    -0.00000       2.28     -558.70501
 1027.78    -558.86389    -558.86389     0.00000       1.71     -558.74454
 1043.13    -558.86539    -558.86539     0.00000       1.18     -558.78189
 1058.64    -558.86637    -558.86637    -0.00000       0.68     -558.81718
 1074.29    -558.86685    -558.86685    -0.00000       0.22     -558.85053
 1090.10    -558.86686    -558.86686    -0.00000      -0.21     -558.88206
 1106.07    -558.86641    -558.86641     0.00000      -0.60     -558.91187
 1122.19    -558.86554    -558.86554     0.00000      -0.98     -558.94007
 1138.47    -558.86427    -558.86427    -0.00000      -1.32     -558.96676
