# equation of state: murnaghan.        chisq = 0.4407D-12
# V0 = 1137.81 a.u.^3,  k0 =  272 kbar,  dk0 =  4.99  d2k0 = -0.010  emin =-1625.29281
# V0 =  168.61  Ang^3,  k0 =  27.2 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
 1068.13   -1625.28832   -1625.28832    -0.00000       2.02    -1625.14135
 1083.88   -1625.29020   -1625.29020     0.00000       1.50    -1625.17990
 1099.79   -1625.29155   -1625.29155     0.00000       1.01    -1625.21610
 1115.85   -1625.29240   -1625.29240    -0.00000       0.56    -1625.25010
 1132.06   -1625.29278   -1625.29278    -0.00000       0.14    -1625.28203
 1148.43   -1625.29272   -1625.29272    -0.00000      -0.25    -1625.31203
 1164.96   -1625.29224   -1625.29224     0.00000      -0.61    -1625.34024
 1181.65   -1625.29136   -1625.29136     0.00000      -0.94    -1625.36676
 1198.49   -1625.29010   -1625.29010    -0.00000      -1.25    -1625.39170
