# equation of state: murnaghan.        chisq = 0.5030D-12
# V0 = 1123.70 a.u.^3,  k0 =  277 kbar,  dk0 =  4.89  d2k0 = -0.010  emin =-1572.79552
# V0 =  166.52  Ang^3,  k0 =  27.8 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
 1054.75   -1572.79099   -1572.79098    -0.00000       2.06    -1572.64316
 1070.37   -1572.79288   -1572.79288     0.00000       1.52    -1572.68194
 1086.14   -1572.79425   -1572.79425     0.00000       1.03    -1572.71840
 1102.07   -1572.79511   -1572.79511    -0.00000       0.57    -1572.75267
 1118.15   -1572.79549   -1572.79549    -0.00000       0.14    -1572.78491
 1134.39   -1572.79542   -1572.79542    -0.00000      -0.26    -1572.81524
 1150.78   -1572.79493   -1572.79493     0.00000      -0.62    -1572.84377
 1167.33   -1572.79403   -1572.79403     0.00000      -0.97    -1572.87064
 1184.04   -1572.79275   -1572.79275    -0.00000      -1.28    -1572.89593
