# equation of state: murnaghan.        chisq = 0.3053D-11
# V0 = 1356.67 a.u.^3,  k0 =   69 kbar,  dk0 =  5.00  d2k0 = -0.010  emin =-1362.44744
# V0 =  201.04  Ang^3,  k0 =   7.0 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
 1184.29   -1362.44057   -1362.44057    -0.00000       1.35    -1362.33151
 1201.16   -1362.44202   -1362.44202     0.00000       1.17    -1362.34671
 1218.19   -1362.44326   -1362.44327     0.00000       0.99    -1362.36102
 1235.38   -1362.44433   -1362.44433    -0.00000       0.83    -1362.37448
 1252.73   -1362.44523   -1362.44522    -0.00000       0.68    -1362.38715
 1270.24   -1362.44595   -1362.44595     0.00000       0.54    -1362.39907
 1287.91   -1362.44652   -1362.44652     0.00000       0.41    -1362.41031
 1305.75   -1362.44695   -1362.44695     0.00000       0.29    -1362.42089
 1323.75   -1362.44724   -1362.44724    -0.00000       0.18    -1362.43086
