# equation of state: murnaghan.        chisq = 0.8670D-12
# V0 =  872.98 a.u.^3,  k0 =  363 kbar,  dk0 =  4.77  d2k0 = -0.010  emin =-1103.11109
# V0 =  129.36  Ang^3,  k0 =  36.4 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
  815.34   -1103.10572   -1103.10572    -0.00000       2.94    -1102.94294
  828.51   -1103.10799   -1103.10799     0.00000       2.16    -1102.98634
  841.81   -1103.10962   -1103.10962     0.00000       1.44    -1103.02698
  855.25   -1103.11063   -1103.11063    -0.00000       0.78    -1103.06506
  868.84   -1103.11107   -1103.11107    -0.00000       0.17    -1103.10075
  882.57   -1103.11097   -1103.11097    -0.00000      -0.39    -1103.13420
  896.44   -1103.11035   -1103.11035     0.00000      -0.91    -1103.16558
  910.46   -1103.10926   -1103.10926     0.00000      -1.39    -1103.19502
  924.62   -1103.10771   -1103.10771    -0.00000      -1.83    -1103.22265
