# equation of state: murnaghan.        chisq = 0.1400D-11
# V0 =  876.78 a.u.^3,  k0 =  510 kbar,  dk0 =  4.03  d2k0 = -0.010  emin = -804.52591
# V0 =  129.93  Ang^3,  k0 =  51.1 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
  822.58    -804.51943    -804.51943    -0.00000       3.72     -804.31158
  835.82    -804.52231    -804.52231     0.00000       2.70     -804.36915
  849.20    -804.52432    -804.52432     0.00000       1.74     -804.42372
  862.72    -804.52551    -804.52551    -0.00000       0.85     -804.47547
  876.39    -804.52591    -804.52591    -0.00000       0.02     -804.52454
  890.20    -804.52557    -804.52557    -0.00000      -0.75     -804.57110
  904.15    -804.52450    -804.52450     0.00000      -1.48     -804.61528
  918.25    -804.52276    -804.52276     0.00000      -2.15     -804.65721
  932.49    -804.52037    -804.52036    -0.00000      -2.79     -804.69703
