# equation of state: murnaghan.        chisq = 0.8463D-12
# V0 = 1317.23 a.u.^3,  k0 =  187 kbar,  dk0 =  4.31  d2k0 = -0.010  emin =-1858.21986
# V0 =  195.19  Ang^3,  k0 =  18.7 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
 1240.54   -1858.21669   -1858.21669     0.00000       1.28    -1858.10869
 1257.94   -1858.21801   -1858.21801    -0.00000       0.95    -1858.13651
 1275.50   -1858.21897   -1858.21896    -0.00000       0.65    -1858.16294
 1293.23   -1858.21957   -1858.21957     0.00000       0.36    -1858.18808
 1311.11   -1858.21984   -1858.21984     0.00000       0.09    -1858.21199
 1329.16   -1858.21979   -1858.21979     0.00000      -0.17    -1858.23474
 1347.38   -1858.21943   -1858.21943    -0.00000      -0.40    -1858.25638
 1365.76   -1858.21879   -1858.21879    -0.00000      -0.63    -1858.27698
 1384.31   -1858.21786   -1858.21786     0.00000      -0.84    -1858.29659
