# equation of state: murnaghan.        chisq = 0.2672D-12
# V0 = 1288.28 a.u.^3,  k0 =  207 kbar,  dk0 =  4.81  d2k0 = -0.010  emin =-1799.97580
# V0 =  190.90  Ang^3,  k0 =  20.7 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
 1197.42   -1799.97058   -1799.97058    -0.00000       1.82    -1799.82262
 1214.41   -1799.97244   -1799.97245     0.00000       1.42    -1799.85555
 1231.56   -1799.97388   -1799.97388     0.00000       1.04    -1799.88661
 1248.88   -1799.97490   -1799.97490    -0.00000       0.69    -1799.91592
 1266.36   -1799.97553   -1799.97553    -0.00000       0.37    -1799.94358
 1283.99   -1799.97579   -1799.97579     0.00000       0.07    -1799.96970
 1301.80   -1799.97570   -1799.97570     0.00000      -0.21    -1799.99437
 1319.76   -1799.97528   -1799.97528     0.00000      -0.47    -1800.01767
 1337.89   -1799.97455   -1799.97455    -0.00000      -0.72    -1800.03969
