# equation of state: murnaghan.        chisq = 0.2720D-11
# V0 = 1020.96 a.u.^3,  k0 =  387 kbar,  dk0 =  4.87  d2k0 = -0.010  emin =-1472.85584
# V0 =  151.29  Ang^3,  k0 =  38.8 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
  960.55   -1472.85052   -1472.85052    -0.00000       2.75    -1472.67065
  975.23   -1472.85288   -1472.85288     0.00000       1.99    -1472.72084
  990.05   -1472.85452   -1472.85453     0.00000       1.29    -1472.76795
 1005.03   -1472.85550   -1472.85550    -0.00000       0.63    -1472.81218
 1020.15   -1472.85584   -1472.85584    -0.00000       0.03    -1472.85370
 1035.43   -1472.85557   -1472.85557    -0.00000      -0.53    -1472.89270
 1050.86   -1472.85474   -1472.85474     0.00000      -1.04    -1472.92935
 1066.44   -1472.85338   -1472.85338     0.00000      -1.52    -1472.96379
 1082.17   -1472.85151   -1472.85151    -0.00000      -1.97    -1472.99618
