# equation of state: murnaghan.        chisq = 0.3671D-11
# V0 =  691.22 a.u.^3,  k0 =  846 kbar,  dk0 =  4.23  d2k0 = -0.010  emin = -330.09376
# V0 =  102.43  Ang^3,  k0 =  84.6 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
  645.12    -330.08377    -330.08377    -0.00000       6.78     -329.78632
  656.39    -330.08822    -330.08823     0.00000       4.89     -329.86998
  667.78    -330.09133    -330.09133     0.00000       3.14     -329.94866
  679.31    -330.09315    -330.09315    -0.00000       1.53     -330.02267
  690.97    -330.09376    -330.09376    -0.00000       0.03     -330.09231
  702.76    -330.09322    -330.09322    -0.00000      -1.35     -330.15786
  714.68    -330.09159    -330.09160     0.00000      -2.63     -330.21959
  726.74    -330.08894    -330.08894     0.00000      -3.82     -330.27773
  738.93    -330.08531    -330.08531    -0.00000      -4.92     -330.33253
