# equation of state: murnaghan.        chisq = 0.3736D-11
# V0 =  569.02 a.u.^3,  k0 =  580 kbar,  dk0 =  4.91  d2k0 = -0.010  emin = -944.29915
# V0 =   84.32  Ang^3,  k0 =  58.1 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
  517.89    -944.28819    -944.28819    -0.00000       6.95     -944.04343
  527.62    -944.29224    -944.29224     0.00000       5.31     -944.10175
  537.48    -944.29529    -944.29529     0.00000       3.82     -944.15564
  547.46    -944.29741    -944.29741    -0.00000       2.47     -944.20548
  557.56    -944.29868    -944.29868    -0.00000       1.24     -944.25158
  567.78    -944.29915    -944.29915    -0.00000       0.13     -944.29425
  578.13    -944.29887    -944.29888     0.00000      -0.89     -944.33376
  588.60    -944.29791    -944.29791     0.00000      -1.81     -944.37036
  599.20    -944.29630    -944.29630    -0.00000      -2.65     -944.40428
