# equation of state: murnaghan.        chisq = 0.9646D-12
# V0 = 1005.21 a.u.^3,  k0 =  435 kbar,  dk0 =  4.17  d2k0 = -0.010  emin =-1173.59170
# V0 =  148.96  Ang^3,  k0 =  43.6 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
  945.23   -1173.58580   -1173.58580    -0.00000       3.06    -1173.38940
  959.75   -1173.58840   -1173.58840     0.00000       2.22    -1173.44326
  974.42   -1173.59023   -1173.59023     0.00000       1.45    -1173.49434
  989.24   -1173.59132   -1173.59131    -0.00000       0.72    -1173.54278
 1004.21   -1173.59170   -1173.59170    -0.00000       0.04    -1173.58873
 1019.32   -1173.59141   -1173.59141    -0.00000      -0.59    -1173.63234
 1034.59   -1173.59049   -1173.59049     0.00000      -1.18    -1173.67373
 1050.01   -1173.58895   -1173.58895     0.00000      -1.74    -1173.71303
 1065.58   -1173.58684   -1173.58684    -0.00000      -2.26    -1173.75035
