# equation of state: murnaghan.        chisq = 0.1872D-11
# V0 = 1571.70 a.u.^3,  k0 =   63 kbar,  dk0 =  4.55  d2k0 = -0.010  emin =-1276.10658
# V0 =  232.90  Ang^3,  k0 =   6.3 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
 1274.03   -1276.08835   -1276.08835     0.00000       2.23    -1275.89541
 1291.74   -1276.09090   -1276.09090     0.00000       2.01    -1275.91463
 1309.61   -1276.09321   -1276.09321    -0.00000       1.80    -1275.93285
 1327.65   -1276.09530   -1276.09530     0.00000       1.61    -1275.95012
 1345.85   -1276.09717   -1276.09717     0.00000       1.43    -1275.96650
 1364.22   -1276.09885   -1276.09885    -0.00000       1.26    -1275.98204
 1382.75   -1276.10033   -1276.10034     0.00000       1.10    -1275.99678
 1401.45   -1276.10164   -1276.10164    -0.00000       0.95    -1276.01078
 1420.32   -1276.10278   -1276.10278     0.00000       0.82    -1276.02406
