# equation of state: murnaghan.        chisq = 0.2216D-11
# V0 =  577.70 a.u.^3,  k0 =  522 kbar,  dk0 =  4.41  d2k0 = -0.010  emin = -451.79037
# V0 =   85.61  Ang^3,  k0 =  52.2 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
  531.44    -451.78271    -451.78271    -0.00000       5.27     -451.59246
  541.34    -451.78579    -451.78580     0.00000       3.93     -451.64120
  551.37    -451.78805    -451.78805     0.00000       2.70     -451.68670
  561.52    -451.78952    -451.78952    -0.00000       1.58     -451.72920
  571.79    -451.79026    -451.79026    -0.00000       0.55     -451.76890
  582.18    -451.79031    -451.79031    -0.00000      -0.40     -451.80601
  592.70    -451.78971    -451.78971     0.00000      -1.27     -451.84071
  603.35    -451.78849    -451.78850     0.00000      -2.06     -451.87316
  614.12    -451.78671    -451.78671    -0.00000      -2.80     -451.90354
