# equation of state: murnaghan.        chisq = 0.2273D-12
# V0 =  883.80 a.u.^3,  k0 =  338 kbar,  dk0 =  4.77  d2k0 = -0.010  emin = -842.54484
# V0 =  130.97  Ang^3,  k0 =  33.9 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
  819.25    -842.53855    -842.53855    -0.00000       3.09     -842.36621
  832.46    -842.54098    -842.54098     0.00000       2.35     -842.40823
  845.80    -842.54279    -842.54279     0.00000       1.66     -842.44759
  859.29    -842.54402    -842.54402    -0.00000       1.02     -842.48447
  872.92    -842.54468    -842.54468    -0.00000       0.43     -842.51903
  886.69    -842.54483    -842.54483    -0.00000      -0.11     -842.55144
  900.61    -842.54449    -842.54449     0.00000      -0.61     -842.58183
  914.67    -842.54368    -842.54368     0.00000      -1.07     -842.61034
  928.87    -842.54244    -842.54244    -0.00000      -1.50     -842.63710
