# equation of state: murnaghan.        chisq = 0.8919D-13
# V0 = 1176.19 a.u.^3,  k0 =  225 kbar,  dk0 =  4.34  d2k0 = -0.010  emin = -605.15193
# V0 =  174.29  Ang^3,  k0 =  22.6 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
 1105.86    -605.14833    -605.14833    -0.00000       1.59     -605.02845
 1121.98    -605.14984    -605.14984     0.00000       1.18     -605.05975
 1138.25    -605.15093    -605.15093     0.00000       0.79     -605.08944
 1154.69    -605.15162    -605.15162    -0.00000       0.43     -605.11760
 1171.27    -605.15191    -605.15191    -0.00000       0.10     -605.14432
 1188.02    -605.15184    -605.15184    -0.00000      -0.22     -605.16968
 1204.93    -605.15141    -605.15141     0.00000      -0.52     -605.19375
 1221.99    -605.15065    -605.15065     0.00000      -0.79     -605.21661
 1239.22    -605.14957    -605.14957    -0.00000      -1.05     -605.23833
