# equation of state: murnaghan.        chisq = 0.1202D-12
# V0 = 1411.26 a.u.^3,  k0 =  182 kbar,  dk0 =  4.49  d2k0 = -0.010  emin =-1414.14414
# V0 =  209.13  Ang^3,  k0 =  18.2 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
 1338.27   -1414.14156   -1414.14156    -0.00000       1.09    -1414.04213
 1356.57   -1414.14272   -1414.14272     0.00000       0.79    -1414.07004
 1375.04   -1414.14353   -1414.14353     0.00000       0.50    -1414.09655
 1393.67   -1414.14400   -1414.14400    -0.00000       0.24    -1414.12172
 1412.47   -1414.14414   -1414.14414    -0.00000      -0.02    -1414.14563
 1431.44   -1414.14396   -1414.14396    -0.00000      -0.25    -1414.16835
 1450.57   -1414.14349   -1414.14349     0.00000      -0.47    -1414.18994
 1469.88   -1414.14273   -1414.14273     0.00000      -0.68    -1414.21047
 1489.36   -1414.14171   -1414.14171    -0.00000      -0.87    -1414.22999
