# equation of state: murnaghan.        chisq = 0.9504D-12
# V0 = 1080.72 a.u.^3,  k0 =  343 kbar,  dk0 =  4.66  d2k0 = -0.010  emin =-1028.74755
# V0 =  160.15  Ang^3,  k0 =  34.4 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
 1016.05   -1028.74247   -1028.74246    -0.00000       2.46    -1028.57283
 1031.29   -1028.74466   -1028.74466     0.00000       1.80    -1028.61865
 1046.68   -1028.74622   -1028.74622     0.00000       1.19    -1028.66184
 1062.22   -1028.74717   -1028.74717    -0.00000       0.62    -1028.70256
 1077.91   -1028.74754   -1028.74754    -0.00000       0.09    -1028.74095
 1093.76   -1028.74737   -1028.74737    -0.00000      -0.40    -1028.77717
 1109.76   -1028.74668   -1028.74668     0.00000      -0.86    -1028.81134
 1125.91   -1028.74550   -1028.74550     0.00000      -1.28    -1028.84360
 1142.23   -1028.74386   -1028.74386    -0.00000      -1.68    -1028.87405
