# equation of state: murnaghan.        chisq = 0.4550D-09
# V0 = 1006.09 a.u.^3,  k0 =  301 kbar,  dk0 =  5.05  d2k0 = -0.010  emin = -234.22699
# V0 =  149.09  Ang^3,  k0 =  30.2 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
  937.79    -234.22149    -234.22149     0.00000       2.55     -234.05907
  952.23    -234.22369    -234.22368    -0.00001       1.91     -234.09975
  966.83    -234.22526    -234.22529     0.00003       1.33     -234.13777
  981.57    -234.22639    -234.22635    -0.00005       0.79     -234.17345
  996.46    -234.22687    -234.22689     0.00003       0.30     -234.20670
 1011.50    -234.22696    -234.22696     0.00001      -0.16     -234.23793
 1026.69    -234.22658    -234.22658    -0.00001      -0.58     -234.26716
 1042.03    -234.22577    -234.22576    -0.00001      -0.97     -234.29454
 1057.52    -234.22454    -234.22455     0.00000      -1.33     -234.32019
